STATE,Year,WUI_Type,%AREA,AREA_KM,HOUSING
Indiana,2000,Interface WUI,0.0235689036107958,2223.269109066889,135809.0
Indiana,2000,Intermix WUI,0.0740947669183248,6989.40473232562,148118.0
Indiana,2000,Non-WUI,0.9023363294708792,85117.93846797729,2248392.0
Indiana,2000,WUI Total,0.0976636705291206,9212.673841392509,283927.0
Indiana,2010,Interface WUI,0.0266757782491195,2516.34249606843,150226.0
Indiana,2010,Intermix WUI,0.0828629164386647,7816.50964539943,163388.0
Indiana,2010,Non-WUI,0.8904613053122157,83997.7601679025,2481927.0
Indiana,2010,WUI Total,0.1095386946877842,10332.85214146786,313614.0
Indiana,2020,Interface WUI,0.0266392121971054,2512.8931979922,154594.0
Indiana,2020,Intermix WUI,0.0828333223445545,7813.71801638126,166110.0
Indiana,2020,Non-WUI,0.89052746545834,84004.00109499671,2602471.0
Indiana,2020,WUI Total,0.1094725345416599,10326.61121437346,320704.0
Iowa,1990,Interface WUI,0.0019716254741136,287.355913711243,42966.0
Iowa,1990,Intermix WUI,0.0067957264803184,990.447839979072,28038.0
Iowa,1990,Non-WUI,0.9912326480455678,144467.885518469,1072665.0
Iowa,1990,WUI Total,0.008767351954432,1277.803753690315,71004.0
Iowa,2000,Interface WUI,0.0021407385803059,312.003419938193,44333.0
Iowa,2000,Intermix WUI,0.0070252074091654,1023.8936961287,26564.0
Iowa,2000,Non-WUI,0.9908340540105286,144409.792156092,1161614.0
Iowa,2000,WUI Total,0.0091659459894714,1335.897116066893,70897.0
Iowa,2010,Interface WUI,0.0023686668939101,345.222989109086,45148.0
Iowa,2010,Intermix WUI,0.0072684269299846,1059.34189283493,26753.0
Iowa,2010,Non-WUI,0.9903629061761052,144341.124390215,1264516.0
Iowa,2010,WUI Total,0.0096370938238948,1404.564881944016,71901.0
Iowa,2020,Interface WUI,0.0023775759334858,346.521443222792,45084.0
Iowa,2020,Intermix WUI,0.007588793541275,1106.03394541724,28181.0
Iowa,2020,Non-WUI,0.990033630525239,144293.133883519,1339524.0
Iowa,2020,WUI Total,0.0099663694747608,1452.555388640032,73265.0
Kansas,1990,Interface WUI,0.0026696310721323,568.897031891683,106562.0
Kansas,1990,Intermix WUI,0.0063098375516468,1344.6231924411,40399.0
Kansas,1990,Non-WUI,0.9910205313762208,211185.974245243,897151.0
Kansas,1990,WUI Total,0.0089794686237792,1913.5202243327833,146961.0
Kansas,2000,Interface WUI,0.0026670229058027,568.341232965348,112727.0
Kansas,2000,Intermix WUI,0.0068472895431042,1459.15394012233,40378.0
Kansas,2000,Non-WUI,0.990485687551093,211071.999296488,978095.0
Kansas,2000,WUI Total,0.009514312448907,2027.4951730876776,153105.0
Kansas,2010,Interface WUI,0.0028902268650837,615.905883851726,123683.0
Kansas,2010,Intermix WUI,0.0077787432073589,1657.64624509684,42365.0
Kansas,2010,Non-WUI,0.9893310299275572,210825.94234062705,1067167.0
Kansas,2010,WUI Total,0.0106689700724426,2273.552128948566,166048.0
Kansas,2020,Interface WUI,0.0029637681221679,631.57748855903,128772.0
Kansas,2020,Intermix WUI,0.0078233178240309,1667.14507337581,42180.0
Kansas,2020,Non-WUI,0.989212914053801,210800.771907641,1104737.0
Kansas,2020,WUI Total,0.0107870859461988,2298.72256193484,170952.0
Kentucky,1990,Interface WUI,0.0336884063859573,3525.51965173744,215152.0
Kentucky,1990,Intermix WUI,0.1361552757007166,14248.7624576595,283934.0
Kentucky,1990,Non-WUI,0.830156317913326,86876.5467646876,1007759.0
Kentucky,1990,WUI Total,0.169843682086674,17774.28210939694,499086.0
Kentucky,2000,Interface WUI,0.0447235042211367,4680.35178689559,276084.0
Kentucky,2000,Intermix WUI,0.159925509015755,16736.3370766087,283392.0
Kentucky,2000,Non-WUI,0.7953509867631083,83234.1400105806,1191451.0
Kentucky,2000,WUI Total,0.2046490132368917,21416.68886350429,559476.0
Kentucky,2010,Interface WUI,0.046767245567629,4894.23101281027,293950.0
Kentucky,2010,Intermix WUI,0.1749774774935547,18311.5380539971,305621.0
Kentucky,2010,Non-WUI,0.7782552769388162,81445.0598072779,1327593.0
Kentucky,2010,WUI Total,0.2217447230611837,23205.76906680737,599571.0
Kentucky,2020,Interface WUI,0.0464247587441919,4858.38948285913,297354.0
Kentucky,2020,Intermix WUI,0.1709986097235974,17895.1462438907,296980.0
Kentucky,2020,Non-WUI,0.7825766315322105,81897.2931473355,1399989.0
Kentucky,2020,WUI Total,0.2174233684677894,22753.53572674983,594334.0
Louisiana,1990,Interface WUI,0.0235454100913914,3193.97364618757,429103.0
Louisiana,1990,Intermix WUI,0.0740006854632713,10038.3148245067,232163.0
Louisiana,1990,Non-WUI,0.902453904445337,122419.358019648,1054975.0
Louisiana,1990,WUI Total,0.0975460955546628,13232.288470694271,661266.0
Louisiana,2000,Interface WUI,0.0289747110270473,3930.46725740084,500701.0
